WOE_ID,ISO,Name,Language,PlaceType,Parent_ID
26809723,EC,Ambato,SPA,LocalAdmin,26809489
26809724,EC,Ambuqui,SPA,LocalAdmin,26809563
26809725,EC,America,SPA,LocalAdmin,26809567
26809726,EC,Anchayacu,SPA,LocalAdmin,26809546
26809727,EC,Ancon,SPA,LocalAdmin,26809657
26809728,EC,Anconcito,SPA,LocalAdmin,26809651
26809729,EC,Angamarca,SPA,LocalAdmin,26809636
26809730,EC,Angochagua,SPA,LocalAdmin,26809563
26809731,EC,Antonio Jose Holguin,SPA,LocalAdmin,26809650
26809732,EC,Antonio Sotomayor,SPA,LocalAdmin,26809693
26809733,EC,Apuela,SPA,LocalAdmin,26809529
26809734,EC,Arajuno,SPA,LocalAdmin,26809491
26809735,EC,Arapicos,SPA,LocalAdmin,26809614
26809736,EC,Arcapamba,SPA,LocalAdmin,26809698
26809737,EC,Archidona,SPA,LocalAdmin,26809492
26809738,EC,Arenillas,SPA,LocalAdmin,26809493
26809739,EC,Ascazubi,SPA,LocalAdmin,26809513
26809740,EC,Asuncion,SPA,LocalAdmin,26809552
26809741,EC,Asuncion,SPA,LocalAdmin,26809655
26809742,EC,Asuncion,SPA,LocalAdmin,26809681
26809743,EC,Atacames,SPA,LocalAdmin,26809494
26809744,EC,Atahualpa,SPA,LocalAdmin,26809645
26809745,EC,Atahualpa,SPA,LocalAdmin,26809546
26809746,EC,Atahualpa,SPA,LocalAdmin,26809665
26809747,EC,Atahualpa,SPA,LocalAdmin,26809489
26809748,EC,Atuntaqui,SPA,LocalAdmin,26809490
26809749,EC,Augusto N. Martinez,SPA,LocalAdmin,26809489
26809750,EC,Avila,SPA,LocalAdmin,26809583
26809751,EC,Ayacucho,SPA,LocalAdmin,26809663
26809752,EC,Ayapamba,SPA,LocalAdmin,26809495
26809753,EC,Azogues,SPA,LocalAdmin,26809496
26809754,EC,Baba,SPA,LocalAdmin,26809497
26809755,EC,Babahoyo,SPA,LocalAdmin,26809498
26809756,EC,Bachillero,SPA,LocalAdmin,26809686
26809757,EC,Baeza,SPA,LocalAdmin,26809642
26809758,EC,Balao,SPA,LocalAdmin,26809499
26809759,EC,Balsapamba,SPA,LocalAdmin,26809658
26809760,EC,Balsas,SPA,LocalAdmin,26809500
26809761,EC,Balzar,SPA,LocalAdmin,26809501
26809762,EC,Baños,SPA,LocalAdmin,26809530
26809763,EC,Baños de Agua Santa,SPA,LocalAdmin,26809502
26809764,EC,Baquerizo Moreno,SPA,LocalAdmin,26809670
26809765,EC,Barbones,SPA,LocalAdmin,26809540
26809766,EC,Barraganete,SPA,LocalAdmin,26809625
26809767,EC,Belisario Quevedo,SPA,LocalAdmin,26809578
26809768,EC,Bellamaria,SPA,LocalAdmin,26809668
26809769,EC,Bellavista,SPA,LocalAdmin,26809668
26809770,EC,Bellavista,SPA,LocalAdmin,26809549
26809771,EC,Bellavista,SPA,LocalAdmin,26809680
26809772,EC,Benitez,SPA,LocalAdmin,26809662
26809773,EC,Bermejos,SPA,LocalAdmin,26809557
26809774,EC,Biblian,SPA,LocalAdmin,26809503
26809775,EC,Bilovan,SPA,LocalAdmin,26809658
26809776,EC,Bolivar,SPA,LocalAdmin,26809504
26809777,EC,Bolivar,SPA,LocalAdmin,26809599
26809778,EC,Bolivar,SPA,LocalAdmin,26809662
26809779,EC,Bomboiza,SPA,LocalAdmin,26809557
26809780,EC,Borbon,SPA,LocalAdmin,26809546
26809781,EC,Boyaca,SPA,LocalAdmin,26809522
26809782,EC,Buenavista,SPA,LocalAdmin,26809617
26809783,EC,Buenavista,SPA,LocalAdmin,26809517
26809784,EC,Bulan,SPA,LocalAdmin,26809619
26809785,EC,Cacha,SPA,LocalAdmin,26809647
26809786,EC,Cahuasqui,SPA,LocalAdmin,26809660
26809787,EC,Calacali,SPA,LocalAdmin,26809645
26809788,EC,Calceta,SPA,LocalAdmin,26809505
26809789,EC,Calderon,SPA,LocalAdmin,26809657
26809790,EC,Calderon,SPA,LocalAdmin,26809645
26809791,EC,Calpi,SPA,LocalAdmin,26809647
26809792,EC,Caluma,SPA,LocalAdmin,26809507
26809793,EC,Camarones,SPA,LocalAdmin,26809547
26809794,EC,Camilo Ponce Enriquez,SPA,LocalAdmin,26809632
26809795,EC,Campozano,SPA,LocalAdmin,26809609
26809796,EC,Cañaquemada,SPA,LocalAdmin,26809617
26809797,EC,Cañar,SPA,LocalAdmin,26809509
26809798,EC,Canchagua,SPA,LocalAdmin,26809672
26809799,EC,Canelos,SPA,LocalAdmin,26809639
26809800,EC,Cangahua,SPA,LocalAdmin,26809513
26809801,EC,Cangonama,SPA,LocalAdmin,26809615
26809802,EC,Cañi,SPA,LocalAdmin,26809527
26809803,EC,Canoa,SPA,LocalAdmin,28358247
26809804,EC,Canuto,SPA,LocalAdmin,26809522
26809805,EC,Capiro,SPA,LocalAdmin,26809627
26809806,EC,Cap. Augusto Rivadeneyra,SPA,LocalAdmin,26809486
26809807,EC,Capzol,SPA,LocalAdmin,26809524
26809808,EC,Caracol,SPA,LocalAdmin,26809498
26809809,EC,Carcabon,SPA,LocalAdmin,26809493
26809810,EC,Cariamanga,SPA,LocalAdmin,26809508
26809811,EC,Carlos Julio Arosemena Tola,SPA,LocalAdmin,26809510
26809812,EC,Carolina,SPA,LocalAdmin,26809563
26809813,EC,Carondelet,SPA,LocalAdmin,26809657
26809814,EC,Casacay,SPA,LocalAdmin,26809617
26809815,EC,Casanga,SPA,LocalAdmin,26809615
26809816,EC,Cascol,SPA,LocalAdmin,26809609
26809817,EC,Catacocha,SPA,LocalAdmin,26809615
26809818,EC,Catamayo,SPA,LocalAdmin,26809512
26809819,EC,Catarama,SPA,LocalAdmin,26809689
26809820,EC,Cayambe,SPA,LocalAdmin,26809513
26809821,EC,Cazaderos,SPA,LocalAdmin,26809697
26809822,EC,Cebadas,SPA,LocalAdmin,26809558
26809823,EC,Celica,SPA,LocalAdmin,26809514
26809824,EC,Cevallos,SPA,LocalAdmin,26809516
26809825,EC,Chacras,SPA,LocalAdmin,26809493
26809826,EC,Chaguarpamba,SPA,LocalAdmin,26809517
26809827,EC,Chambo,SPA,LocalAdmin,26809518
26809828,EC,Chanduy,SPA,LocalAdmin,26809665
26809829,EC,Changaimina,SPA,LocalAdmin,26809554
26809830,EC,Chantaco,SPA,LocalAdmin,26809581
26809831,EC,Chantilin,SPA,LocalAdmin,26809672
26809832,EC,Chaquinal,SPA,LocalAdmin,26809628
26809833,EC,Charapoto,SPA,LocalAdmin,26809691
26809834,EC,Chaucha,SPA,LocalAdmin,26809530
26809835,EC,Chavezpamba,SPA,LocalAdmin,26809645
26809836,EC,Checa,SPA,LocalAdmin,26809530
26809837,EC,Checa,SPA,LocalAdmin,26809645
26809838,EC,Chibunga,SPA,LocalAdmin,26809522
26809839,EC,Chican,SPA,LocalAdmin,26809619
26809840,EC,Chicaña,SPA,LocalAdmin,26809695
26809842,EC,Chiguinda,SPA,LocalAdmin,26809557
26809843,EC,Chilla,SPA,LocalAdmin,26809519
26809844,EC,Chillanes,SPA,LocalAdmin,26809520
26809845,EC,Chinca,SPA,LocalAdmin,26809547
26809846,EC,Chiquicha,SPA,LocalAdmin,26809662
26809847,EC,Chiquintad,SPA,LocalAdmin,26809530
26809848,EC,Chitan de Navarrete,SPA,LocalAdmin,26809598
26809849,EC,Chito,SPA,LocalAdmin,26809521
26809850,EC,Chobo,SPA,LocalAdmin,26809592
26809851,EC,Chone,SPA,LocalAdmin,26809522
26809852,EC,Chontaduro,SPA,LocalAdmin,26809646
26809853,EC,Chontamarca,SPA,LocalAdmin,26809509
26809854,EC,Chontapunta,SPA,LocalAdmin,26809684
26809855,EC,Chordeleg,SPA,LocalAdmin,26809523
26809856,EC,Chorocopte,SPA,LocalAdmin,26809509
26809857,EC,Chuga,SPA,LocalAdmin,26809626
26809858,EC,Chugchillan,SPA,LocalAdmin,26809676
